S.No,Produc Names,Product Size,Product Download Links
1,Photoshop CC 2019 (64-bit),1.7 GB,https://prodesigntools.com/prdl-download/Photoshop/55E8FC8663C847F08BFBCD8DFE336AE8/1546595903133/AdobePhotoshop20-mul_x64.zip
2,Lightroom CC 2019,909 MB,https://prodesigntools.com/prdl-download/Nimbus/8B68813B39A14CCD91DDCE8D93225574/1548399558333/LRCC_2.1_20181129-0106-61a316d_win64_Release_ESD.zip
3,Lightroom Classic CC 2019,1.3 GB,https://prodesigntools.com/prdl-download/Lightroom/CA4674BB70B54A1A9DE0B0831F85443E/1544440684794/LR_8.0_1193777_win64_Release_ESD.zip
4,Illustrator CC 2019 (32-bit),1.9 GB,https://prodesigntools.com/prdl-download/Illustrator/160936BD5B104622BB9B90349EE49E5F/1546591230620/AdobeIllustrator23_HD_win32.zip
5,Illustrator CC 2019 (64-bit),1.9 GB,https://prodesigntools.com/prdl-download/Illustrator/160936BD5B104622BB9B90349EE49E5F/1546595326395/AdobeIllustrator23_HD_win64.zip
6,InDesign CC 2019 (32-bit),931 MB,https://prodesigntools.com/prdl-download/InDesign/D5722D9AC14B49958F93821AFCD3A52A/1544443220543/InDesign_14_LS20_Win32.zip
7,InDesign CC 2019 (64-bit),987 MB,https://prodesigntools.com/prdl-download/InDesign/D5722D9AC14B49958F93821AFCD3A52A/1544443171829/InDesign_14_LS20_Win64.zip
8,InCopy CC 2019 (32-bit),916 MB,https://prodesigntools.com/prdl-download/InCopy/62DEBA0627494C20BD9C63381D017A88/1544443403307/InCopy_14_LS20_Win32.zip
9,InCopy CC 2019 (64-bit),970 MB,https://prodesigntools.com/prdl-download/InCopy/62DEBA0627494C20BD9C63381D017A88/1544443361134/InCopy_14_LS20_Win64.zip
10,Dreamweaver CC 2019 (32bit),983 MB,https://prodesigntools.com/prdl-download/Dreamweaver/FD65CE52E08E4AD7BFB17BACD290AFE3/1560512401216/Dreamweaver%20CC%202019%20Set-up.zip
11,Dreamweaver CC 2019 (64bit),1.0 GB,https://prodesigntools.com/prdl-download/Dreamweaver/FD65CE52E08E4AD7BFB17BACD290AFE3/1560512178045/Dreamweaver%20CC%202019%20Set-up.zip
12,Adobe Muse CC 2018,771 MB,https://prodesigntools.com/prdl-download/Muse/C3A2E1E270254AC18D82B0CF4EF7CE3F/1544441842535/Muse_2018_0_CC_LS24.exe
13,Animate CC 2019 (Flash Pro),1.5 GB,https://prodesigntools.com/prdl-download/Flash/D8A4B2B76E9C4A578424737D0EC4C168/1546595685932/Animate_19_LS20.exe
14,Dimension CC 2019,1.4 GB,https://prodesigntools.com/prdl-download/Euclid/0BEDA563DF514FABA4E1201108CEE8A3/1546596536938/Dimension_2.1-20181130.r.778-9a5a81b-ESD.zip
15,Adobe XD CC 2019,—,Link not Found
16,Character Animator CC 2019,1.1 GB,https://prodesigntools.com/prdl-download/Character%20Animator/00B50F20B95644AEA51395371E4C6C90/1544088163077/AdobeCharacterAnimator2AllTrial.zip
17,Premiere Rush CC 2019,1.7 GB,https://prodesigntools.com/prdl-download/Rush/FE3D5362CB3B44B6A84E7C3D78ACE4CC/1544088659654/AdobePremiereRush1.0AllTrial.zip
18,Premiere Pro CC 2019,1.7 GB,https://prodesigntools.com/prdl-download/Premiere%20Pro/C474E1D5059F4381BE89C87503B0D7AD/1544083308622/AdobePremierePro13AllTrial.zip
19,After Effects CC 2019,2.0 GB,https://prodesigntools.com/prdl-download/After%20Effects/EFCFFC34A2A1445EA202AD05824C73D8/1544084408371/AdobeAfterEffects16AllTrial.zip
20,Audition CC 2019,624 MB,https://prodesigntools.com/prdl-download/Audition/E7E769AC13B345AB84DBF3D259C6F556/1544088248596/AdobeAudition12All.zip
21,Prelude CC 2019,751 MB,https://prodesigntools.com/prdl-download/Prelude/03B5AC12E8394815BEB07838B93922A1/1544088494176/AdobePrelude8AllTrial.zip
22,Media Encoder CC 2019,1.3 GB,https://prodesigntools.com/prdl-download/Adobe%20Media%20Encoder/8C05BEDA6290488E8C66EA85A85A5C49/1544088558243/AdobeMediaEncoder13AllTrial.zip
23,Bridge CC 2019 (32-bit),921 MB,https://prodesigntools.com/prdl-download/Bridge/1DC9934374274649BBCBF3A0E0CFCFB5/1544440540709/Bridge.9.0.HDInstaller.zip
24,Bridge CC 2019 (64-bit),1.0 GB,https://prodesigntools.com/prdl-download/Bridge/1DC9934374274649BBCBF3A0E0CFCFB5/1544440572462/Bridge.9.0.HDInstaller.zip
25,SpeedGrade CC 2015,339 MB,https://prodesigntools.com/prdl-download/SpeedGrade/1CC0FA5AC5BB48478EB666B24D9A609F/1509443936439/SpeedGrade_9_LS20.exe
26,Fuse CC 2017,3.7 GB,https://prodesigntools.com/prdl-download/Fuse/D7E164FB1D0742409D5D4B4D6FEB4E88/1544442198942/Fuse_2017_1_UE.7z
27,Edge Animate CC 2015,149 MB,https://prodesigntools.com/trials3/AdobeProducts/EDGE/6/win64/Edge_Animate_6_0_0_LS17.exe
28,CC Desktop App (v. 5.7.1.1),303 MB,https://prodesigntools.com/helpx/creative-cloud/release-note/cc-release-notes.html
29,CC Desktop App (v. 5.2.1.441),252 MB,https://prodesigntools.com/helpx/creative-cloud/release-note/cc-release-notes.html
30,CC Desktop App (v. 4.9.0.504),326 MB,https://prodesigntools.com/helpx/creative-cloud/release-note/cc-release-notes.html
31,Acrobat Pro DC 2019 (32bit),883 MB,Link not Found
32,Adobe Camera Raw 12.2.1,460 MB,https://prodesigntools.com/prdl-download/Acrobat%20Professional/D7F54F0D29444633826976D79A5A752C/1551091346749/Acrobat_DC_Web_WWMUI.exe
33,Flash Builder 4.7 Prem. (32bit),1.0 GB,https://prodesigntools.com/download/pub/adobe/photoshop/cameraraw/win/12.x/CameraRaw_12_2_1.exe
34,Flash Builder 4.7 Prem. (64bit),1.0 GB,https://prodesigntools.com/prdl-download/Flash%20Builder/C06A256DD8FD4DF186D90CE0ADCF0B2C/1509476504960/FlashBuilder_4_7_LS10.exe
35,Fireworks CS6,438 MB,https://prodesigntools.com/prdl-download/Flash%20Builder/C06A256DD8FD4DF186D90CE0ADCF0B2C/1509477139530/FlashBuilder_4_7_LS10_win64.exe
36,Encore CS6 (readme),1.1 GB,https://prodesigntools.com/trials3/AdobeProducts/FWKS/12/win32/Fireworks_12_LS16.exe
37,ExtendScript Toolkit CC,94 MB,https://prodesigntools.com/helpx/encore/kb/encore-cs6-installed-cc.html
38,Adobe Gaming SDK 1.4,296 MB,https://prodesigntools.com/prdl-download/ExtendScriptToolkit/85C17E5FC8B34A7B8483796F0367F97C/1509443329438/AdobeExtendScriptToolkit_4_LS22.exe
